id,subject,usuario,product_id,product_label,family,section,queue,status,category,priority,opened,updated,requester_id,owner_id,team_id,diretoria,gerencia,agencia,gerente_gestao,gerente,history,attachment,due_date
1,Atualizar limite de Capital de Giro,Juliane Negretti,capital_giro_flex,Capital de Giro Flex,Crédito PJ,Crédito,POBJ,em_atendimento,Produção de Crédito PJ,alta,2025-03-01T09:20:00,2025-03-05T14:45:00,usr-01,usr-02,pobj,Diretoria Sudeste,Regional Campinas,Agência Centro Empresarial,,Ana Paula Prado,2025-03-05T14:45:00::usr-02::Contato com gerente PJ::Solicitou última DRE e anexou documentação no chamado.::em_atendimento||2025-03-02T11:05:00::usr-02::Análise inicial::Validou elegibilidade e encaminhou proposta à mesa de crédito.::aguardando||2025-03-01T09:20:00::usr-01::Abertura do chamado::Gerente reportou necessidade de ampliar limite para rodada de capital de giro.::aberto,,
2,Revisar orçamento para kit adicional da Maquininha Plus,Thalita Gregório,maquininha_plus,Maquininha Plus,Meios de pagamento,Recebíveis,Orçamento,aguardando,Revisão orçamentária,media,2025-02-27T16:18:00,2025-03-04T10:12:00,usr-07,usr-02,orcamento,Diretoria Sudeste,Regional São Paulo,Agência Paulista,,Rodrigo Sales,2025-03-04T10:12:00::usr-02::Ajuste aprovado::Verba realocada para aquisição do kit adicional.::aguardando||2025-02-27T16:18:00::usr-07::Abertura do chamado::Solicitada revisão orçamentária para ampliar a frota de maquininhas.::aberto,,
3,Revisar cobrança recorrente de PIX,Juliane Negretti,plataforma_pix,Plataforma PIX Empresas,Pagamentos digitais,Recebíveis,POBJ,resolvido,Captação Líquida (Todos os Produtos),media,2025-02-25T08:05:00,2025-03-03T17:28:00,usr-01,usr-02,pobj,Diretoria Sudeste,Regional Campinas,Agência Centro Empresarial,,Ana Paula Prado,2025-03-03T17:28:00::usr-02::Retorno ao cliente::Parametrização corrigida e homologada em produção.::resolvido||2025-02-26T10:42:00::usr-02::Interação com time de tecnologia::Identificada divergência na API de cobrança programada.::em_atendimento||2025-02-25T08:05:00::usr-01::Abertura do chamado::Cliente reportou cobranças duplicadas após atualização.::aberto,,
4,Contestação de indicador de metas Recebíveis,Thalita Gregório,cobranca_digital,Cobrança Digital PJ,Recebíveis,Recebíveis,Metas,aberto,Contestação de meta,alta,2025-03-06T12:45:00,2025-03-06T12:45:00,usr-07,usr-05,metas,Diretoria Sudeste,Regional São Paulo,Agência Paulista,,Rodrigo Sales,"2025-03-06T12:45:00::usr-07::Abertura do chamado::Indicador de metas zerou no relatório, ajuste solicitado.::aberto",,
5,Apoio para contratação de Seguros Empresariais,Cassio Perussi,seguros_empresariais,Seguros Empresariais,Seguros e proteção,Seguros,Matriz,em_atendimento,Integração com sistemas,alta,2025-02-20T11:12:00,2025-03-01T10:05:00,usr-03,usr-03,matriz,Diretoria Centro,Regional Goiânia,Agência Business Goiânia,,Patrícia Lemos,2025-03-01T10:05:00::usr-03::Reunião com seguradora::Aguardando aprovação de clausulado customizado.::aguardando||2025-02-20T11:12:00::usr-03::Abertura do chamado::Diretoria solicitou consultoria para expansão de cobertura.::aberto,,
6,Treinamento Gestão de Folha PJ,Gabriel Figueiredo,gestao_folha,Gestão de Folha PJ,Serviços financeiros,Serviços,Encarteiramento,aguardando,Suporte técnico,baixa,2025-02-28T15:50:00,2025-03-03T09:30:00,usr-10,usr-05,encarteiramento,Diretoria Norte,Regional Belém,Agência Batista Campos,,Lívia Duarte,2025-03-03T09:30:00::usr-05::Agenda com cliente::Treinamento remoto agendado para próxima semana.::aguardando||2025-02-28T15:50:00::usr-10::Abertura do chamado::Cliente precisa reciclagem da equipe de RH.::aberto,,
7,Revisão de crédito agro,Gabriel Figueiredo,credito_agro,Crédito Agro Clima,Crédito PJ,Crédito,Metas,em_atendimento,Acompanhamento de indicadores,critica,2025-02-24T13:05:00,2025-03-05T08:50:00,usr-10,usr-06,metas,Diretoria Norte,Regional Belém,Agência Batista Campos,,Lívia Duarte,2025-03-05T08:50:00::usr-06::Coleta de documentos::Cliente enviou certidões atualizadas.::em_atendimento||2025-02-24T13:05:00::usr-10::Abertura do chamado::Necessidade de rever limite devido à estiagem.::aberto,,
8,Integração com ERP externo,Juliane Negretti,antecipacao_recebiveis,Antecipação de Recebíveis PJ,Recebíveis,Recebíveis,POBJ,em_atendimento,Contas a Receber (vol),alta,2025-02-22T10:22:00,2025-03-06T09:15:00,usr-01,usr-02,pobj,Diretoria Sudeste,Regional Campinas,Agência Centro Empresarial,,Ana Paula Prado,2025-03-06T09:15:00::usr-02::Homologação em pré-produção::Cliente validou lote piloto. Ajustar política de alçada.::em_atendimento||2025-02-22T10:22:00::usr-01::Abertura do chamado::Solicitada integração para disparar antecipações automáticas.::aberto,,
9,Renovação de consórcio imobiliário,Bruno Quesada,consorcio_imobiliario,Consórcio Imobiliário PJ,Investimentos,Patrimônio,Matriz,aguardando,Cadastro e manutenção,media,2025-02-26T17:48:00,2025-03-04T09:00:00,usr-04,usr-03,matriz,Diretoria Centro,Regional Goiânia,Agência Business Goiânia,,Patrícia Lemos,2025-03-04T09:00:00::usr-03::Aguardando documentação complementar::Cliente ficou de enviar balanço consolidado.::aguardando||2025-02-26T17:48:00::usr-04::Abertura do chamado::Tratar renovação de cota PJ e atualização cadastral.::aberto,,
10,Acesso ao dashboard Omega,Gabriel Figueiredo,gestao_folha,Gestão de Folha PJ,Serviços financeiros,Serviços,POBJ,resolvido,Sucesso de Equipe Crédito,baixa,2025-02-18T09:32:00,2025-02-20T15:10:00,usr-10,usr-02,pobj,Diretoria Sudeste,Regional São Paulo,Agência Paulista,,Rodrigo Sales,2025-02-20T15:10:00::usr-02::Acesso restaurado::Login reativado após limpeza de cache.::resolvido||2025-02-18T09:32:00::usr-10::Abertura do chamado::Analista perdeu acesso ao dashboard após atualização.::aberto,,
11,Dúvida sobre pacotes PJ,Gabriel Figueiredo,cobranca_digital,Cobrança Digital PJ,Recebíveis,Recebíveis,Encarteiramento,cancelado,Suporte técnico,baixa,2025-02-15T14:05:00,2025-02-16T08:20:00,usr-10,usr-05,encarteiramento,Diretoria Norte,Regional Belém,Agência Batista Campos,,Lívia Duarte,2025-02-16T08:20:00::usr-05::Cancelamento solicitado::Gerente informou que era dúvida já tratada.::cancelado||2025-02-15T14:05:00::usr-10::Abertura do chamado::Cliente questionou tarifa aplicada na remessa.::aberto,,
12,Ajuste de metas trimestrais,Thalita Gregório,capital_giro_flex,Capital de Giro Flex,Crédito PJ,Crédito,Metas,resolvido,Ajuste de meta,media,2025-02-10T10:00:00,2025-02-28T16:40:00,usr-07,usr-06,metas,Diretoria Sudeste,Regional São Paulo,Agência Paulista,,Rodrigo Sales,2025-02-28T16:40:00::usr-06::Meta ajustada::Definido novo target mensal para carteira.::resolvido||2025-02-18T15:22:00::usr-06::Reunião com diretoria::Validado racional da meta revisada.::em_atendimento||2025-02-10T10:00:00::usr-07::Abertura do chamado::Solicitação de ajuste devido à sazonalidade.::aberto,,
13,Expansão do kit Maquininha Plus,Gabriel Figueiredo,maquininha_plus,Maquininha Plus,Meios de pagamento,Recebíveis,POBJ,em_atendimento,Cartões,media,2025-03-04T08:40:00,2025-03-06T18:05:00,usr-10,usr-05,pobj,Diretoria Norte,Regional Manaus,Agência Distrito Industrial,,Lívia Duarte,2025-03-06T18:05:00::usr-05::Acompanhamento de logística::Transportadora confirmou saída do kit adicional.::em_atendimento||2025-03-04T08:40:00::usr-10::Abertura do chamado::Cliente abriu nova loja e precisa de terminais extras.::aberto,,
14,Contestação de meta Capital de Giro,Cassio Perussi,capital_giro_flex,Capital de Giro Flex,Crédito PJ,Crédito,Matriz,aberto,Ajuste de meta,alta,2025-03-06T11:25:00,2025-03-06T11:25:00,usr-03,usr-03,matriz,Diretoria Centro,Regional Goiânia,Agência Business Goiânia,,Patrícia Lemos,2025-03-06T11:25:00::usr-03::Abertura do chamado::Meta cadastrada acima do potencial da carteira.::aberto,,
15,Suporte ao Consórcio PJ,Juliane Negretti,consorcio_imobiliario,Consórcio Imobiliário PJ,Investimentos,Patrimônio,POBJ,aguardando,Consórcios,media,2025-03-03T14:15:00,2025-03-05T09:50:00,usr-01,usr-02,pobj,Diretoria Sudeste,Regional Campinas,Agência Centro Empresarial,,Ana Paula Prado,2025-03-05T09:50:00::usr-02::Contato com cliente::Solicitado envio de contrato social atualizado.::aguardando||2025-03-03T14:15:00::usr-01::Abertura do chamado::Cliente em processo de adesão precisa apoio na formalização.::aberto,,
